"STATION","NAME","DATE","TMAX","TMIN"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-30","71","36"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-31","78","36"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-01","60","41"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-02","59","36"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-03","61","37"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-04","66","42"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-05","55","41"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-06","62","39"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-07","64","46"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-08","57","42"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-09","61","31"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-10","72","37"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-11","75","46"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-12","68","46"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-13","58","49"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-14","64","39"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-15","72","34"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-16","79","45"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-17","81","46"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-18","64","49"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-19","60","46"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-20","64","42"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-21","59","39"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-22","68","37"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-23","74","42"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-24","80","44"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-25","84","49"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-26","76","52"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-27","72","50"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-28","75","41"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-29","80","57"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-30","80","57"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-01","79","60"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-02","79","57"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-03","75","55"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-04","72","54"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-05","76","48"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-06","69","54"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-07","74","47"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-08","73","48"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-09","75","50"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-10","68","53"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-11","72","49"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-12","83","50"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-13","87","51"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-14","88","52"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-15","82","56"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-16","66","54"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-17","64","53"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-18","70","51"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-19","67","37"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-20","67","44"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-21","66","50"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-22","68","52"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-23","69","50"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-24","66","46"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-25","71","36"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-26","76","42"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-27","74","54"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-28","62","53"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-29","59","47"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-30","56","44"
"USW00026533","BETTLES AIRPORT, AK US","2016-07-31","63","42"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-01","65","40"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-02","63","50"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-03","52","42"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-04","61","36"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-05","68","49"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-06","70","51"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-07","69","50"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-08","71","53"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-09","69","54"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-10","68","48"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-11","68","42"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-12","66","49"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-13","73","49"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-14","74","50"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-15","70","52"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-16","67","45"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-17","66","42"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-18","70","38"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-19","60","49"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-20","58","50"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-21","55","48"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-22","59","48"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-23","66","45"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-24","69","50"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-25","69","48"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-26","67","44"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-27","62","38"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-28","74","39"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-29","71","46"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-30","67","33"
"USW00026533","BETTLES AIRPORT, AK US","2016-08-31","69","29"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-01","65","40"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-02","65","33"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-03","68","31"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-04","68","31"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-05","61","32"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-06","55","35"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-07","55","24"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-08","59","30"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-09","59","24"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-10","60","24"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-11","51","26"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-12","46","40"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-13","43","31"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-14","38","29"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-15","42","28"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-16","44","31"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-17","42","33"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-18","42","26"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-19","38","24"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-20","48","34"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-21","54","41"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-22","45","34"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-23","42","32"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-24","41","29"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-25","40","25"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-26","38","25"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-27","44","27"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-28","39","28"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-29","45","29"
"USW00026533","BETTLES AIRPORT, AK US","2016-09-30","42","31"
"USW00026533","BETTLES AIRPORT, AK US","2016-10-01","51","27"
"USW00026533","BETTLES AIRPORT, AK US","2016-10-02","47","28"
"USW00026533","BETTLES AIRPORT, AK US","2016-10-03","42","21"
"USW00026533","BETTLES AIRPORT, AK US","2016-10-04","41","19"
"USW00026533","BETTLES AIRPORT, AK US","2016-10-05","41","18"
